ISO,UBID,context
bra,432160025000026,118
bra,313380805000059,118
bra,431440705150062,118
bra,220150705000054,118
bra,431350828000003,118
bra,354990410000030,118
bra,171750305000016,118
bra,520060505000012,116
bra,330455705150066,118
bra,351170610000009,116
bra,355030842000138,118
bra,352270305000015,118
bra,351110205000054,118
bra,110009805000030,118
bra,431560205310004,118
bra,312160555000004,118
bra,316553705000043,118
bra,316553705000044,118
bra,430270905000036,116
bra,520013405000038,116
bra,314930905000034,118
bra,350430505000007,116
bra,432000805000231,118
bra,315670015000001,118
bra,431690733000001,118
bra,352070705000012,118
bra,431261710000001,118
bra,431261710000003,118
bra,355030837000240,118
bra,420100005000021,118
bra,430440805000029,118
bra,354940905000054,118
bra,353350205000043,116
bra,172110905000039,118
bra,411320505000002,118
bra,260090605000018,116
bra,355020905000044,118
bra,320500215080012,118
bra,310620005680135,118
bra,355020905000043,118
bra,431880420000001,118
bra,210040205000015,118
bra,420950805000011,118
bra,431640205000042,118
bra,352850205000123,118
bra,420730405000020,118
bra,420730405000028,116
bra,317070105000011,118
bra,352320605000030,118
bra,352320605000031,118
bra,353470805000160,118
bra,250750705000632,118
bra,130170405000088,118
bra,130170405000082,118
bra,130170405000080,118
bra,130170405000081,118
bra,130170405000087,118
bra,130170405000084,118
bra,431750946000001,118
bra,293325705000021,118
bra,330190019000016,118
bra,350410705000191,118
bra,310740605000047,118
bra,355480505000009,118
bra,317010705320006,118
bra,330455705170368,116
bra,420950805000004,118
bra,354570405000007,118
bra,330040705010029,118
bra,431820030000005,118
bra,355030845000202,116
bra,311940110000073,116
bra,230940915000002,118
bra,220780105000047,116
bra,220780105000048,118
bra,352160605000017,118
bra,352440205000285,118
bra,280050605000004,118
bra,310620005670457,118
bra,310620005670459,118
bra,210090705000070,116
bra,210090705000072,118
bra,291072705000142,116
bra,231100905000014,118
bra,231100905000011,118
bra,231100905000012,118
bra,355030844000212,118
bra,430500913000001,118
bra,290490210000007,118
bra,354480605000020,118
bra,251290305000024,118
bra,251290305000026,118
bra,291650005000030,118
bra,353440105000895,118
bra,330250205000043,118
bra,312610925000003,118
bra,355220505000316,116
bra,355220505000317,118
bra,270630705000013,118
bra,410140805000125,116
bra,353060705000189,116
bra,231360905000012,118
bra,293077405000022,118
bra,310670505020060,118
bra,421700605000024,118
bra,421700605000021,116
bra,421700605000022,118
bra,430850805000029,118
bra,350810805000028,116
bra,354880705000007,116
bra,310285205000012,118
bra,355030863000233,118
bra,220105105000006,118
bra,320490605000057,118
bra,355480505000068,118
bra,310620005620331,118
bra,500220905000031,116
bra,420205705000029,118
bra,292160905000012,118
bra,353890705000033,116
bra,353890705000031,118
bra,353890705000035,116
bra,292160905000011,118
bra,315180005000148,118
bra,320280114000005,118
bra,320120905000222,118
bra,430210521000006,118
bra,130120905000090,118
bra,320405405000037,118
bra,316470405000047,118
bra,330600805000090,118
bra,430280805000049,118
bra,230395615000005,116
bra,150170915000008,118
bra,410120010000001,118
bra,330455705190298,116
bra,354970605000068,118
bra,354970605000066,118
bra,354970605000060,118
bra,230860915000004,118
bra,521300405000020,118
bra,431697230000001,116
bra,316250005000093,118
bra,510785905000023,118
bra,351060905000161,118
bra,320150605000093,118
bra,420420205000230,116
bra,290530510000011,116
bra,352850205000054,118
bra,350800905000023,118
bra,431570105000033,118
bra,317010705280020,116
bra,411270210000001,118
bra,355510905000018,118
bra,353140705000029,118
bra,354780905000235,118
bra,420480605000037,118
bra,292010605000037,116
bra,292010605000036,118
bra,350580705000025,118
bra,240810205080067,118
bra,293305905000033,118
bra,230560530000001,118
bra,230890605000018,118
bra,430230313000001,118
bra,430230313000005,116
bra,354870805001149,118
bra,210860305000045,118
bra,355030832000165,116
bra,431560205330008,118
bra,421507505000013,118
bra,354980520000008,118
bra,313420205000159,118
bra,290120505000043,118
